adm3_en,adm2_en,num_map_tank,num_tank,asc_map_dad,asc_dad,asc_func,asc_damaged,asc_nonfunc,asc_pop,asc_fam,asc_pop_func,asc_pop_damaged,asc_pop_nonfunc,asc_fam_func,asc_fam_damaged,asc_cas,asc_tank_irri,asc_tank_agri,asc_tank_agri_day,asc_tank_agri_com,asc_tank_agri_day_com,asc_reno,asc_breached,asc_needreno,asc_good,asc_bundreha,asc_sluice,asc_sluice2,asc_spill,asc_spill2,asc_length1,asc_length2,asc_length3,asc_length4,asc_length5
Mallawapitiya,Kurunegala,7,4,100,100,100,0,0,476,106,100,0,0,100,0,0,18.75,18.75,0,6.25,0,6.25,25,56.25,25,,100,0,100,0,0.32142857,0.32142857,0.035714287,0,0
Maspotha,Kurunegala,56,45,100,100,83.012352,0,16.987652,4542,1340,86.417145,0,13.582857,86.759529,0,1.2345679,0.93827164,1.4814816,0.44444448,0,0.04938272,36.571426,0.79999995,21.17647,39.185184,0,50.567905,0.79012352,23.901236,0,0.35714287,0.057142861,0.039682541,0.006349206,0
Mawathagama,Kurunegala,28,26,100,100,65.236687,2.3668637,34.763309,2732,811,73.23037,1.3909224,26.769627,68.320213,2.3333018,0.59171593,3.2544377,3.4023669,0.44378698,0,0,28.994083,0.14792898,53.402363,9.4674549,0,92.45562,0.59171593,78.25444,0.14792898,0.11126374,0.35164836,0.012362638,0,0
Narammala,Kurunegala,29,25,100,100,84.639999,0.63999999,15.36,7019,1527,88.841141,0.274683,11.158857,89.650299,0.2043222,0,2.0799999,2.24,0.95999998,0.31999999,0,26.181818,2.1176472,21.052631,37.555557,0,46.240002,5.7600002,19.360001,0,0.44689658,0.005517241,0.049655173,0.005517241,0.00137931
Nikaweratiya,Kurunegala,393,273,97.471657,96.370537,72.218864,0.2629849,27.781136,19354,6041,69.328087,0.24960056,30.671913,68.269508,0.20373601,14.7929,0.042936306,0.092581414,0.21065626,0.004025279,0.045619827,4.2077584,2.6265092,42.51231,17.810009,0,37.420334,0.90702945,56.938911,0.005367038,0.3019881,0.059651971,0.12541826,0.001575185,0.00014913
Panduwasnuwara East,Kurunegala,201,180,99.007446,98.891975,87.111115,0.077160493,12.888886,19262,4889,87.848267,0.025957845,12.151731,85.83078,0.026703939,6.5308642,0.25617287,0.28703704,0.21296297,0.01234568,0.033950619,21.262346,0.027777778,21.262346,39.410496,0,75.111107,1.4938272,75.111107,0.027777778,0.086677723,0.099502489,0.17249861,0.000442233,0.000110558
Panduwasnuwara West,Kurunegala,416,316,100,100,73.005127,0.22532445,26.994871,25934,7164,71.177277,0.15338351,28.822727,70.200691,0.24847338,17.449127,0.12017304,0.14621054,0.13719757,0.002002884,0.02403461,12.155917,0.20008168,23.7502,22.821323,0,60.111561,1.5231934,60.111561,0.049070664,0.14070107,0.08547347,0.16888541,0.003354735,0.000121714
Pannala,Kurunegala,27,14,100,100,51.020409,2.0408163,48.979591,3040,959,50.93985,1.4332707,49.06015,51.541786,1.713094,0,5.6122446,6.1224489,0.51020408,0,0.51020408,32.653061,0.64935064,8.1632652,51.020409,0,100,0.51020408,73.469391,0,0.95502645,0.042328045,0.042328045,0,0
Polgahawela,Kurunegala,17,9,100,100,60.493828,1.2345679,39.506172,1533,571,73.160835,0.4276292,26.839169,69.877411,0.89511573,0,6.1728392,6.1728392,2.4691358,0,0,22.222221,14.285714,34.722221,12.5,0,79.012344,0,30.864199,0,1.1045752,0.026143791,0.026143791,0,0
Polpitigama,Kurunegala,531,485,96.26899,95.9188,78.971626,0.38261238,21.028376,46266,13272,81.154121,0.27741864,18.845879,80.998474,0.29594898,23.677755,0.10798172,0.11265809,0.080348603,0.003400999,0.004251249,7.1268868,0.41979733,43.894661,12.950729,0,56.327343,3.1442235,61.711552,0.083324477,0.072879411,0.059704505,0.17123885,0.010907255,0.000190265
